work_code,l1,l2,l3,task_type,classification_basis,dept,owner,applied_keywords,classification_note,guidelines,related_laws
WORK-CB-222,원가(C),공사,물가변동,검증,ES / DS,건설사업본부,하은정 이사,"물가변동, ESC, 지수조정율, 품목조정율, 단가변동, 계약금액조정, 등락폭, 비목군, 조정기준일, K,Z값, 계약금액, 조정, 지수, 변동, 등락, 검토용역, 증액, 감액",[국가계약법 시행령 제64조] 계약 체결 후 물가 변동으로 인한 계약 금액의 조정(Escalation).,시설분야 물가변동 사전검토 처리지침,국가를 당사자로 하는 계약에 관한 법률(국계법) 지방자치단체를 당사자로 하는 계약에 관한 법률(지계법)
WORK-CB-231,원가(C),공사,개발비용,산정,개발비용 산정 및 검증용역(재산정),건설사업본부,하은정 이사,"개발비용, 개발부담금, 조성비, 기반시설설치비, 산지전용, 농지전용, 부담금, 택지조성, 원인자부담금, 대체조림비, 산출명세서, 비용검증, 산정확인, 명세서, 검증, 부과, 환수, 산출",[개발이익 환수에 관한 법률] 토지 개발 사업 완료 후 개발이익 산정 및 부담금 부과를 위한 비용 산출.,도시개발 업무지침,"개발이익 환수에 관한 법률, 도시개발법, 택지개발촉진법"
WORK-CB-232,원가(C),공사,개발비용,검증,개발비용 산정 및 검증용역(재산정),건설사업본부,하은정 이사,"개발비용, 개발부담금, 조성비, 기반시설설치비, 산지전용, 농지전용, 부담금, 택지조성, 원인자부담금, 대체조림비, 산출명세서, 비용검증, 산정확인, 명세서, 검증, 부과, 환수, 산출",[개발이익 환수에 관한 법률] 토지 개발 사업 완료 후 개발이익 산정 및 부담금 부과를 위한 비용 산출.,도시개발 업무지침,"개발이익 환수에 관한 법률, 도시개발법, 택지개발촉진법"
WORK-CB-241,원가(C),공사,설계변경,산정,설계변경에 따른 공사원가 산정용역 등,건설사업본부,최재운 본부장,설계변경,[공공발주사업에 대한 건축사의 업무범위] 공사 발주를 위해 설계 단계에서 공사비를 예측하고 내역서를 작성하는 업무.,"(각 공사별) 설계지침, 건설공사 안전보건설계지침","건축설계기본법, 안전관련법, 공사 종류별 사업법, 하도급법"
WORK-CB-242,원가(C),공사,설계변경,검증,설계변경에 따른 공사원가 산정용역 등,건설사업본부,최재운 본부장,설계변경,[공공발주사업에 대한 건축사의 업무범위] 공사 발주를 위해 설계 단계에서 공사비를 예측하고 내역서를 작성하는 업무.,"(각 공사별) 설계지침, 건설공사 안전보건설계지침","건축설계기본법, 안전관련법, 공사 종류별 사업법, 하도급법"
WORK-CB-251,원가(C),공사,기부채납,산정,,건설사업본부,최재운 본부장,"기부채납, 무상귀속, 공공기여, 국공유지, 기반시설부담, 인계인수, 소유권이전, 진입도로개설, 청사건립, 시설물귀속, 소유권, 이전, 귀속, 검증, 관리위탁",[국유재산법 제13조] 사업 시행자가 공공시설 등을 설치하여 국가나 지자체에 무상으로 소유권을 이전하는 비용 산정.,,
WORK-CB-252,원가(C),공사,기부채납,검증,,건설사업본부,최재운 본부장,"기부채납, 무상귀속, 공공기여, 국공유지, 기반시설부담, 인계인수, 소유권이전, 진입도로개설, 청사건립, 시설물귀속, 소유권, 이전, 귀속, 검증, 관리위탁",[국유재산법 제13조] 사업 시행자가 공공시설 등을 설치하여 국가나 지자체에 무상으로 소유권을 이전하는 비용 산정.,,
WORK-CB-291,원가(C),공사,기타,산정,간접비 등,건설사업본부,최재운 본부장,"긴급보수, 하자보수, 철거공사, 가시설, 부대공사, 재해복구, 안전점검비용, 시공상세도, 샵드로잉, 가설사무실, 간접비, 공기연장, 현장, 자재, 안전점검, 폐기물(공사성), 지장물, 이전, 가설","분류가 모호하거나, 소규모/특수 목적의 공사성 과업.",,
WORK-CB-292,원가(C),공사,기타,검증,간접비 등,건설사업본부,최재운 본부장,"긴급보수, 하자보수, 철거공사, 가시설, 부대공사, 재해복구, 안전점검비용, 시공상세도, 샵드로잉, 가설사무실, 간접비, 공기연장, 현장, 자재, 안전점검, 폐기물(공사성), 지장물, 이전, 가설","분류가 모호하거나, 소규모/특수 목적의 공사성 과업.",,
WORK-CC-311,원가(C),학술용역,연구,산정,"기초,응용과학 관련, 정책(시책) 자문",원가분석본부,하은정 이사,"학술연구, 정책연구, 기본계획, 실태조사, 보고서, 연구백서발간, 중장기계획, 설문조사, 연구, 조사, 분석, 수립, 방안, 실태, 모델, 전략, 진단, 평가, 회계",[예정가격작성기준 제4장]학문적 전문지식을 활용하여 사업의 타당성 등을 분석하는 연구 용역.,,.
